"state","order","admission_date","estimate_2016","census_2010","total_area"
"Delaware",1,"December 7, 1787",952065,897936,2488.72
"Pennsylvania",2,"December 12, 1787",12802503,12702887,46054.35
"New Jersey",3,"December 18, 1787",8944469,8791936,8722.58
"Georgia",4,"January 2, 1788",10310371,9688681,59425.15
"Connecticut",5,"January 9, 1788",3576452,3574118,5543.41
"Massachusetts",6,"February 6, 1788",6811779,6547817,10554.39
"Maryland",7,"April 28, 1788",6016447,5773785,12405.93
"South Carolina",8,"May 23, 1788",4961119,4625401,32020.49
"New Hampshire",9,"June 21, 1788",1334795,1316466,9349.16
"Virginia",10,"June 25, 1788",8411808,8001045,42774.93
"New York",11,"July 26, 1788",19745289,19378087,54554.98
"North Carolina",12,"November 21, 1789",10146788,9535692,53819.16
"Rhode Island",13,"May 29, 1790",1056426,1052931,1544.89
"Vermont",14,"March 4, 1791",624594,625745,9616.36
"Kentucky",15,"June 1, 1792",4436974,4339349,40407.8
"Tennessee",16,"June 1, 1796",6651194,6346275,42144.25
"Ohio",17,"March 1, 1803",11614373,11536725,44825.58
"Louisiana",18,"April 30, 1812",4681666,4533479,52378.13
"Indiana",19,"December 11, 1816",6633053,6484229,36419.55
"Mississippi",20,"December 10, 1817",2988726,2968103,48431.78
"Illinois",21,"December 3, 1818",12801539,12831549,57913.55
"Alabama",22,"December 14, 1819",4863300,4780127,52420.07
"Maine",23,"March 15, 1820",1331479,1328361,35379.74
"Missouri",24,"August 10, 1821",6093000,5988927,69706.99
"Arkansas",25,"June 15, 1836",2988248,2915958,53178.55
"Michigan",26,"January 26, 1837",9928301,9884129,96713.51
"Florida",27,"March 3, 1845",20612439,18804623,65757.7
"Texas",28,"December 29, 1845",27862596,25146105,268596.46
"Iowa",29,"December 28, 1846",3134693,3046869,56272.81
"Wisconsin",30,"May 29, 1848",5778708,5687289,65496.38
"California",31,"September 9, 1850",39250017,37254503,163694.74
"Minnesota",32,"May 11, 1858",5519952,5303925,86935.83
"Oregon",33,"February 14, 1859",4093465,3831073,98378.54
"Kansas",34,"January 29, 1861",2907289,2853132,82278.36
"West Virginia",35,"June 20, 1863",1831102,1853011,24230.04
"Nevada",36,"October 31, 1864",2940058,2700691,110571.82
"Nebraska",37,"March 1, 1867",1907116,1826341,77347.81
"Colorado",38,"August 1, 1876",5540545,5029324,104093.67
"North Dakota",39,"November 2, 1889",757952,672591,70698.32
"South Dakota",40,"November 2, 1889",865454,814191,77115.68
"Montana",41,"November 8, 1889",1042520,989417,147039.71
"Washington",42,"November 11, 1889",7288000,6724543,71297.95
"Idaho",43,"July 3, 1890",1683140,1567652,83568.95
"Wyoming",44,"July 10, 1890",585501,563767,97813.01
"Utah",45,"January 4, 1896",3051217,2763888,84896.88
"Oklahoma",46,"November 16, 1907",3923561,3751616,69898.87
"New Mexico",47,"January 6, 1912",2081015,2059192,121590.3
"Arizona",48,"February 14, 1912",6931071,6392307,113990.3
"Alaska",49,"January 3, 1959",741894,710249,665384.04
"Hawaii",50,"August 21, 1959",1428557,1360301,10931.72
